-174,1488,0
-172,1486,0
-169,1485,0
-167,1483,0
-167,1483,0
-162,1480,0
-165,1481,0
-169,1484,0
-174,1488,0
-184,1493,0
-200,1497,0
-256,1505,0
-320,1513,0
-377,1519,0
-411,1524,0
-410,1522,0
-401,1519,8
-390,1516,0
-380,1516,16
-373,1515,8
-371,1514,-8
-367,1515,8
-365,1516,8
-365,1517,8
-362,1518,16
-358,1521,24
-350,1526,39
-337,1532,32
-325,1537,16
-313,1542,16
-297,1548,24
-259,1557,-8
-249,1558,-8
-241,1558,-8
-230,1557,-8
-215,1559,-32
-200,1561,-39
-163,1569,-32
-129,1577,-32
-99,1585,-32
-93,1584,-32
-90,1581,-32
-87,1577,-32
-85,1572,-39
-79,1565,-48
-74,1557,-39
-69,1549,-48
-60,1539,-48
-54,1530,-32
-51,1519,-24
-49,1508,-24
-48,1496,-32
-49,1483,-39
-54,1447,-39
-56,1436,-39
-57,1424,-39
-58,1413,8
-56,1401,16
-52,1387,16
-37,1345,16
-27,1334,56
-15,1327,64
-3,1319,56
10,1313,56
26,1306,39
44,1298,39
94,1281,48
152,1264,56
213,1258,48
274,1252,56
391,1242,56
475,1235,24
535,1231,16
561,1229,16
583,1234,0
604,1239,8
623,1246,8
640,1253,8
661,1255,8
680,1265,8
697,1284,16
710,1303,8
716,1320,16
725,1339,24
732,1358,24
739,1376,24
733,1393,8
726,1409,16
720,1422,16
713,1434,16
710,1438,16
708,1442,16
705,1446,16
697,1452,-39
664,1459,-39
619,1466,-24
571,1473,-24
490,1480,-16
419,1482,-8
350,1498,-8
302,1501,8
252,1500,8
214,1499,16
191,1501,16
137,1501,0
74,1504,0
4,1501,-16
-46,1495,8
-93,1492,-8
-113,1491,24
-112,1493,32
-102,1495,24
-97,1495,16
-92,1493,8
-87,1492,0
-77,1488,0
-65,1486,0
-53,1485,-8
-40,1481,0
-26,1478,8
-11,1479,0
6,1477,8
61,1472,8
117,1465,16
169,1457,16
217,1451,16
230,1450,56
243,1451,48
256,1454,39
268,1458,39
282,1462,8
299,1461,-24
318,1459,-24
366,1453,-16
400,1454,-16
407,1456,-8
410,1460,0
413,1461,-24
411,1462,-16
409,1462,-24
404,1460,-32
399,1456,-48
391,1451,-56
379,1448,-16
340,1441,-8
297,1434,-8
268,1424,16
238,1415,39
205,1415,24
160,1421,32
120,1422,39
83,1426,39
47,1435,24
19,1443,39
-5,1456,24
-18,1472,48
-37,1485,8
-56,1493,8
-86,1498,-24
-118,1499,-8
-138,1508,8
-143,1517,-16
-137,1522,-24
-132,1522,-16
-125,1522,-8
-118,1522,-8
-109,1522,-16
-100,1521,-16
-88,1517,-16
-48,1509,-8
-18,1507,8
9,1508,8
34,1509,8
54,1517,72
65,1530,56
68,1536,48
73,1541,8
98,1562,-8
121,1579,-16
144,1596,-16
151,1604,-16
153,1605,-32
153,1606,-16
151,1606,-16
149,1605,-16
146,1605,-16
139,1603,-39
135,1600,-32
129,1596,-39
120,1590,-56
112,1584,-8
104,1571,-32
94,1556,-32
85,1541,-32
78,1531,48
72,1523,0
66,1518,0
61,1512,0
56,1507,0
40,1549,0
-13,1676,0
-62,1791,0
-90,1909,0
-109,2022,0
-126,2124,0
-155,2222,0
-186,2314,0
-215,2397,0
-240,2471,0
-263,2538,0
-271,2560,0
-278,2581,0
-285,2602,0
-292,2621,0
-298,2640,0
-305,2658,0
-311,2676,0
-317,2693,0
-320,2705,0
-324,2715,0
-327,2725,0
-330,2735,0
-332,2744,0
-335,2753,0
-338,2762,0
-340,2770,0
-343,2778,0
-345,2786,0
-348,2794,0
-350,2801,0
-352,2808,0
-354,2815,0
-356,2821,0
-358,2828,0
-358,2828,0
-358,2828,0
-358,2828,0
-358,2828,0
-358,2828,0
-358,2828,0
-358,2828,0
-358,2828,0
-358,2828,0
-358,2828,0
-358,2828,0
-358,2828,0
-358,2828,0
-358,2828,0
-358,2828,0
-358,2828,0
-358,2828,0
-358,2828,0
-358,2828,0
-358,2828,0
-358,2828,0
-358,2828,0
-358,2828,0
-358,2828,0
-358,2828,0
-358,2828,0
