4,-12,1004,-8
4,-18,1008,-24
4,-22,1011,8
4,-22,1014,39
4,-20,1018,32
4,-16,1021,32
4,-16,1025,-39
4,-13,1028,-8
4,-10,1031,-8
4,-1,1033,39
4,13,1037,39
4,66,1051,56
4,108,1065,16
4,139,1076,56
4,178,1087,24
4,219,1095,16
4,301,1115,64
4,380,1128,32
4,461,1134,24
4,541,1132,24
4,613,1135,32
4,678,1114,-24
4,740,1101,-16
4,809,1078,-48
4,853,1061,-24
4,863,1050,-16
4,854,1039,-24
4,842,1033,-32
4,825,1025,-48
4,806,1016,-48
4,777,1010,-48
4,738,1008,-56
4,653,1003,-72
4,556,996,-48
4,455,981,-8
4,336,967,56
4,196,961,96
4,41,956,104
4,-118,953,104
4,-283,952,112
4,-430,954,119
4,-577,950,128
4,-714,966,136
4,-837,990,144
4,-966,1002,119
4,-1100,1010,112
4,-1220,1035,79
4,-1342,1046,64
4,-1442,1060,16
4,-1538,1084,24
4,-1629,1111,24
4,-1683,1121,-8
4,-1718,1163,-16
4,-1731,1175,-79
4,-1705,1156,-96
4,-1687,1135,-104
4,-1677,1127,-96
4,-1664,1119,-104
4,-1647,1110,-119
4,-1629,1102,-112
4,-1564,1084,-119
4,-1491,1065,-136
4,-1333,1033,-128
4,-1175,1008,-96
4,-1008,990,-39
4,-844,964,-39
4,-674,955,24
4,-511,946,24
4,-330,941,64
4,-144,937,96
4,24,957,72
4,184,989,119
4,343,1008,96
4,495,984,88
4,635,972,0
4,776,957,72
4,882,951,16
4,953,942,8
4,1008,933,0
4,1041,924,-8
4,1065,915,-24
4,1078,908,-32
4,1079,906,-88
4,1077,908,-112
4,1064,908,-64
4,1057,908,-96
4,1047,909,-72
4,1031,909,-64
4,1011,911,-48
4,988,914,-39
4,908,926,-32
4,820,934,16
4,629,941,79
4,429,944,104
4,235,949,104
4,39,952,119
4,-160,946,88
4,-352,937,96
4,-536,939,119
4,-702,943,119
4,-855,930,112
4,-999,923,119
4,-1138,924,56
4,-1243,929,56
4,-1355,935,39
4,-1447,956,39
4,-1535,960,8
4,-1619,961,8
4,-1714,978,-8
4,-1770,996,-8
4,-1787,1031,-24
4,-1791,1045,-32
4,-1803,1059,-64
4,-1799,1089,-48
